Author,Comment,Likes,Timestamp
@harshithaa7901,C++ ki kuda coding Ani adugithara written test laaga?,0,2025-03-11T05:59:44Z
@nathangamer5752,Bro im mba graduate any jobs in hcl or any it company,0,2025-03-10T08:05:11Z
@bhargavi3974,Bro two offers unte offer letter accept cheydaniki time isthara,0,2025-03-10T05:10:05Z
@Asif_0765,"Entha istharu ani bruh ,em chesthav bruh ahh software job tho vachhey money life lo settle kuda avvalem,education laga daily mrng techi velli evng vachhi.enni year bruh e life . Software job life long cheyalevu bruh .ahh money tho life tho sarrigga settle kuda avvaledu.mana brain eyy mana asset bruh ,think bro world lo enno unnai manam ela edagali settle avavli anedi mana brain thinking ability loney undhi bro. Brain =a big asset ❤",0,2025-03-09T22:25:37Z
@nagalakshmiachana7732,Makuda results vachai bro i am also selected for the hcltech in get role but waiting for the offer letter adhi asalu eppudu vasthundo idea vunte evaraina cheppandi and miku vachinda bro offer letter,0,2025-03-09T05:54:52Z
@EverythingJustl,Which college bro you studied,0,2025-03-08T02:41:22Z
@EverythingJustl,How much package bro,0,2025-03-08T02:40:48Z
@32_shwonghosh93,"I completed the HCL GD for the GET role and have my Technical Interview 1 on March 10th, followed by Technical Interview 2, and then two HR interviews if selected. I chose PL/SQL as my preferred skill. Can you please tell me if the technical interviews will be tests or direct interviews, and what kind of questions I should expect? I have very little time to prepare.",0,2025-03-06T10:58:06Z
@k.sandeep7614,"Guys  hcl tech company gud but a package tho manam recruit avuthamo adhe untadi many years varuku work load untadi, increments vv slow",0,2025-03-05T16:41:38Z
@moghalkarishma2378,Bro mi resume sample pedthara,0,2025-03-05T15:51:29Z
@ManojKumar-pz4yc,Bro 10 codes vallu adiginavi rayala manaki ochinavi emina rayala??<br>Okavela adiginavi ayithe ee codes adigaro Cheppu bro,0,2025-03-05T15:10:27Z
@lalithagedela9140,Hi can you please tell me about you  year of graduation,0,2025-03-05T08:30:10Z
@omkarreddy456,Congratulations bro ... All the best for your next career,0,2025-03-04T17:47:03Z
@sowmyasri5612,On campus or Off campus??,0,2025-03-04T17:04:04Z
@devi-h3e,Anna coding lo em questions adigaru anna,0,2025-03-04T16:31:19Z
@Veeresh-l4t,Sir AI tho software jobs potayanta kada,0,2025-03-04T11:58:27Z
@sreevidya-r5u,Anna Meru em chadvukunaru,0,2025-03-04T09:49:25Z
@narayana_b833,Nuv a branch bro,0,2025-03-03T15:42:23Z
@seelamthirumalamurthybabu.1438,Bro select ayina deggara ninchi on boarding enntha tym pattochu...,0,2025-03-03T15:02:48Z
@adakulapallyprashanthi9299,Broh Which coding Subject is best to crack job soon,0,2025-03-03T12:55:38Z
@saichidwilas8238,"congrats bro, ekkada apply chesav bro",0,2025-03-03T10:52:26Z
@vijayragavendra1282,Brother how much students were selected in your college,0,2025-03-03T05:44:14Z
@lordop3029,Bro hindi mei bana dete😢,0,2025-03-02T21:35:49Z
@fazilhussain6079,Congratulations bro 🎉🎉 but sorry to say that it is worst company in the world,0,2025-03-02T17:46:55Z
@SreenuK-x5b,డాకుమెంట్స్ orginal thiskellala,0,2025-02-28T10:22:45Z
@snehap9782,Brother Iam a postgraduate in English literature and is there any job opportunities in hcl,0,2025-02-28T07:46:51Z
@jaithracollections999,"Try for other companies also bro, I don&#39;t suggest HCL for freshers.",0,2025-02-28T05:45:23Z
@Vishnueditz05-NHU,Congratulations bro 🎉,0,2025-02-27T10:12:47Z
@DeepthiBolligarla,I will applied many jobs per day but no response bro,0,2025-02-26T07:09:15Z
@Canvasandstage,hi bro i applied 1 month ago  when i&#39;ll expect exam,0,2025-02-25T03:09:35Z
@akshayaobulareddy,Hiii bro .Nenu interview clear chesa (java) .next round technical 2 anta .Is it hr or technical 2???,3,2025-02-24T12:03:21Z
@sandeepsan9085,Bro welcome kit video😅😅😅😅😅,2,2025-02-24T06:37:16Z
@Devil-pu9xg,Use ayee untai anti bro use syy ka ..anyway a heartfully congratulations 🎉🎉,1,2025-02-24T04:35:31Z
@Devil-pu9xg,Bro&#39;s Savanthi&#39;s gurchi cheppara recent ga nennu Savanthi&#39;s la select ayina and Savanthi&#39;s lo select ayina valla ni hcl ki promote chestharu annaru edhi nijamey na,0,2025-02-24T04:25:58Z
@sherbahubali683,"Hi anna I have attended the walk-in in HCl tech company,assessment but I don&#39;t have any receive mail pass or not",0,2025-02-23T16:18:06Z
@karthiksrinivas4068,Congrats anna..ilanti good information share chesthunav,2,2025-02-22T12:54:53Z
@VaraLakshmi-g1b,Bro HCL TECH company lo Graduate trainee ane  role IT or NON IT,1,2025-02-22T08:50:36Z
@mnithinmmudavath7440,Congratulation anna...one doubt HCL which language is required to secure a job....,0,2025-02-21T15:05:32Z
@mullapudivineelasai2290,Skills only c pettava bro,0,2025-02-21T10:18:17Z
@naveenkumar-vu4gm,"<a href=""https://www.youtube.com/watch?v=EvSRE3aJo9o&amp;t=478"">7:58</a> 😂😂",1,2025-02-20T20:27:46Z
@jagadeeswarreddypasala7862,Congratulations brother,0,2025-02-20T12:44:00Z
@prasannakolluri6837,Hcl written gurinchi chepu bro,3,2025-02-20T09:35:56Z
@parichasriya8833,Cutoff enta tisaru bro exam ki cheppara please,0,2025-02-20T07:29:23Z
@rachamallabharathreddy4175,send me link bro,0,2025-02-19T17:43:27Z
@shaikmoulali6631,Bro codes em em adigaru bro,0,2025-02-19T16:06:45Z
@Manoj-me3er,Is this pan India?,0,2025-02-19T12:06:41Z
@Jobs_free_information,Non IT jobs vi update gurinchi vds pettu bro..,1,2025-02-19T05:32:42Z
@tejaswini2072,Endi 10 codes ah😂😂 2 ga ichedi adi 8 crct uu😂😂 2 wrong ah,0,2025-02-18T15:38:48Z
@JaganMohanReddyAnugu,"congrats, how many days it will take to complete entire  process",0,2025-02-18T05:44:27Z
@Anusha_luvv,"Hlo vignesh,my gd round scheduled tomorrow <br>Can you please provide topics that are asked or the topics that I need to focus",2,2025-02-17T07:40:00Z
@Dreamachiever-c,Bro nv A year chadhuvuthunnav ????,1,2025-02-16T17:41:37Z
